Country,Season,Islander,Age,Hometown,Day Entered,Day Left,Status
UK,1,Jess Hayes,22,Oxford,1,41,Winner
UK,1,Max Morley,22,Huddersfield,14,41,Winner
UK,1,Hannah Elizabeth,25,Liverpool,1,41,Runner-up
UK,1,Jon Clark,25,Essex,1,41,Runner-up
UK,1,Josh Ritchie,21,Bolton,1,41,Third place
UK,1,Lauren Richardson,26,East London,1,41,Third place
UK,1,Cally Jane Beech,23,Hull,21,41,Fourth place
UK,1,Luis Morrison,20,London,1,41,Fourth place
UK,1,Jordan Ring,31,Gloucester,1,35,Dumped
UK,1,Zoe Basia Brown,24,South London,1,35,Dumped
UK,1,Ben Porter,24,Wakefield,32,33,Dumped
UK,1,Poppy Farnan,22,Chester,32,33,Dumped
UK,1,Naomi Ball,23,East London,7,28,Dumped
UK,1,Travis Almond,22,Essex,21,28,Dumped
UK,1,Omar Sultani,22,Leamington Spa,1,21,Dumped
UK,1,Bethany Rogers,19,Leeds,14,21,Dumped
UK,1,Daisy Muller,24,Birmingham,7,19,Dumped
UK,1,Chris Williamson,27,Newcastle,1,19,Dumped
UK,1,Chris Baxter,20,London,11,14,Dumped
UK,1,Danielle Pyne,23,London,1,14,Dumped
UK,1,Rachel Christie,26,London,1,11,Dumped
UK,1,John Alberti,29,Manchester,3,6,Dumped
UK,1,Tony Alberti,29,Manchester,3,6,Dumped
UK,2,Cara De La Hoyde,26,Kent,1,45,Winner
UK,2,Nathan Massey,25,Essex,1,45,Winner
UK,2,Alex Bowen,24,Wolverhampton,18,45,Runner-up
UK,2,Olivia Buckland,22,Chelmsford,1,45,Runner-up
UK,2,Kady McDermott,20,Stevenage,3,45,Third place
UK,2,Scott Thomas,27,Manchester,1,45,Third place
UK,2,Adam Maxted,24,Belfast,11,45,Fourth place
UK,2,Katie Salmon,20,The Wirral,34,45,Fourth place
UK,2,Emma Jane Woodham,19,Oxford,27,41,Dumped
UK,2,Terry Walsh,28,Surrey,3,41,Dumped
UK,2,Adam Jukes,23,Manchester,34,41,Dumped
UK,2,Lauren Whiteside,25,Blackpool,37,41,Dumped
UK,2,Tina Stinnes,21,London,20,40,Dumped
UK,2,Sophie Gradon,30,Newcastle,1,39,Walked
UK,2,Troy Frith,23,Kent,30,37,Dumped
UK,2,Tom Powell,24,Port Talbot,1,33,Dumped
UK,2,Liana Isadora Van Riel,20,Exeter,20,33,Dumped
UK,2,Oliver Maxwell Fernandez,25,Hertfordshire,30,31,Dumped
UK,2,Malin Andersson,23,Milton Keynes,1,25,Dumped
UK,2,Zara Holland,20,Hull,1,22,Walked
UK,2,James Khan,20,Teddington,18,20,Dumped
UK,2,Rykard Jenkins,25,Kent,1,15,Walked
UK,2,Daniel Lukakis,23,London,1,15,Dumped
UK,2,Rachel Fenton,23,Hampshire,7,15,Dumped
UK,2,Malia Arkian,26,Manchester,7,7,Removed
UK,2,Javi Shephard,27,York,1,6,Dumped
UK,3,Amber Davies,20,North Wales,1,52,Winner
UK,3,Kem Cetinay,21,Essex,1,52,Winner
UK,3,Camilla Thurlow,27,Dumfries,1,52,Runner-up
UK,3,Jamie Jewitt,27,Essex,32,52,Runner-up
UK,3,Chris Hughes,24,Cheltenham,4,52,Third place
UK,3,Olivia Attwood,26,Guildford,1,52,Third place
UK,3,Gabby Allen,25,Liverpool,7,52,Fourth place
UK,3,Marcel Somerville,31,London,1,52,Fourth place
UK,3,Alex Beattie,22,Newcastle,26,50,Dumped
UK,3,Montana Brown,21,Hertfordshire,1,50,Dumped
UK,3,Georgia Harrison,22,Essex,34,46,Dumped
UK,3,Sam Gowland,21,Middlesbrough,1,23,Dumped
UK,3,Sam Gowland,21,Middlesbrough,39,46,Re-dumped
UK,3,Mike Thalassitis,24,North London,12,17,Dumped
UK,3,Mike Thalassitis,24,North London,39,44,Re-dumped
UK,3,Tyla Carr,23,Surrey,19,44,Dumped
UK,3,Theo Campbell,25,Bath,32,41,Dumped
UK,3,Jonny Mitchell,26,Essex,4,38,Dumped
UK,3,Craig Lawson,27,London,26,31,Dumped
UK,3,Nathan Joseph,25,Essex,26,31,Dumped
UK,3,Danielle Sellers,22,Hastings,26,31,Dumped
UK,3,Chyna Ellis,22,Essex,26,31,Dumped
UK,3,Amelia Peters,18,London,26,28,Dumped
UK,3,Dom Lever,26,Manchester,1,28,Dumped
UK,3,Ellisha-Jade White,22,Southampton,26,28,Dumped
UK,3,Marino Katsouris,22,Brighton,26,28,Dumped
UK,3,Rob Lipsett,25,Dublin,26,28,Dumped
UK,3,Shannen McGrath,23,Dublin,26,28,Dumped
UK,3,Steve Ball,25,Wiltshire,26,28,Dumped
UK,3,Simon Searles,28,Leeds,19,25,Dumped
UK,3,Chloë Crowhurst,22,Essex,1,23,Dumped
UK,3,Jessica Shears,23,Devon,1,17,Dumped
UK,3,Tyne-Lexy Clarson,20,Birmingham,7,14,Dumped
UK,3,Harley Judge,22,Norwich,1,6,Dumped
UK,4,Dani Dyer,21,London,1,59,Winner
UK,4,Jack Fincham,26,Essex,1,59,Winner
UK,4,Laura Anderson,29,Stirling,1,59,Runner-up
UK,4,Paul Knops,31,Bournemouth,43,59,Runner-up
UK,4,Josh Denzel,27,London,8,59,Third place
UK,4,Kazimir Crossley,23,London,26,59,Third place
UK,4,Megan Barton-Hanson,24,Southend-on-Sea,8,59,Fourth place
UK,4,Wes Nelson,20,Staffordshire,1,59,Fourth place
UK,4,Alex George,27,Carmarthen,1,57,Dumped
UK,4,Alexandra Cane,27,Hertfordshire,39,57,Dumped
UK,4,Jack Fowler,22,London,26,53,Dumped
UK,4,Laura Crane,23,Devon,43,53,Dumped
UK,4,Josh Mair,21,Birmingham,43,50,Dumped
UK,4,Stephanie Lam,23,Hertfordshire,43,50,Dumped
UK,4,Georgia Steel,20,York,4,47,Dumped
UK,4,Sam Bird,25,Norwich,19,47,Dumped
UK,4,Charlie Brake,23,Chelsea,26,43,Dumped
UK,4,Ellie Brown,20,Newcastle,15,43,Dumped
