Country,Season,Islander,Age,Hometown,Day Entered,Day Left,Status
UK,1,Jess Hayes,22,Oxford,Day 1,Winner (Day 41),
UK,1,Max Morley,22,Huddersfield,Day 14,Winner (Day 41),
UK,1,Hannah Elizabeth,25,Liverpool,Day 1,Runner-up (Day 41),
UK,1,Jon Clark,25,Essex,Day 1,Runner-up (Day 41),
UK,1,Josh Ritchie,21,Bolton,Day 1,Third place (Day 41),
UK,1,Lauren Richardson,26,East London,Day 1,Third place (Day 41),
UK,1,Cally Jane Beech,23,Hull,Day 21,Fourth place (Day 41),
UK,1,Luis Morrison,20,London,Day 1,Fourth place (Day 41),
UK,1,Jordan Ring,31,Gloucester,Day 1,Dumped (Day 35),
UK,1,Zoe Basia Brown,24,South London,Day 1,Dumped (Day 35),
UK,1,Ben Porter,24,Wakefield,Day 32,Dumped (Day 33),
UK,1,Poppy Farnan,22,Chester,Day 32,Dumped (Day 33),
UK,1,Naomi Ball,23,East London,Day 7,Dumped (Day 28),
UK,1,Travis Almond,22,Essex,Day 21,Dumped (Day 28),
UK,1,Omar Sultani,22,Leamington Spa,Day 1,Dumped (Day 21),
UK,1,Bethany Rogers,19,Leeds,Day 14,Dumped (Day 21),
UK,1,Daisy Muller,24,Birmingham,Day 7,Dumped (Day 19),
UK,1,Chris Williamson,27,Newcastle,Day 1,Dumped (Day 19),
UK,1,Chris Baxter,20,London,Day 11,Dumped (Day 14),
UK,1,Danielle Pyne,23,London,Day 1,Dumped (Day 14),
UK,1,Rachel Christie,26,London,Day 1,Dumped (Day 11),
UK,1,John Alberti,29,Manchester,Day 3,Dumped (Day 6),
UK,1,Tony Alberti,29,Manchester,Day 3,Dumped (Day 6),
UK,2,Cara De La Hoyde,26,Kent,Day 1,Winner (Day 45),
UK,2,Nathan Massey,25,Essex,Day 1,Winner (Day 45),
UK,2,Alex Bowen,24,Wolverhampton,Day 18,Runner-up (Day 45),
UK,2,Olivia Buckland,22,Chelmsford,Day 1,Runner-up (Day 45),
UK,2,Kady McDermott,20,Stevenage,Day 3,Third place (Day 45),
UK,2,Scott Thomas,27,Manchester,Day 1,Third place (Day 45),
UK,2,Adam Maxted,24,Belfast,Day 11,Fourth place (Day 45),
UK,2,Katie Salmon,20,The Wirral,Day 34,Fourth place (Day 45),
UK,2,Emma Jane Woodham,19,Oxford,Day 27,Dumped (Day 41),
UK,2,Terry Walsh,28,Surrey,Day 3,Dumped (Day 41),
UK,2,Adam Jukes,23,Manchester,Day 34,Dumped (Day 41),
